code,system
1D18.00,readv2
1990M,readv2
1973M,readv2
1970M,readv2
1989M,readv2
B56..11,readv2
B58yz00,readv2
B564100,readv2
B576100,readv2
B5z..00,readv2
B582300,readv2
B153.00,readv2
1969A,readv2
B58y400,readv2
B576000,readv2
B582100,readv2
B57..00,readv2
ByuC300,readv2
B582200,readv2
B581000,readv2
B563z00,readv2
B561500,readv2
B562.00,readv2
B575100,readv2
B561300,readv2
B560700,readv2
B575z00,readv2
B582.00,readv2
B561700,readv2
B582400,readv2
B560z00,readv2
BB03.11,readv2
B583000,readv2
B574200,readv2
B561000,readv2
ByuC100,readv2
B560800,readv2
B58y300,readv2
B574100,readv2
B565300,readv2
B582600,readv2
B575.00,readv2
B560200,readv2
B563300,readv2
B561100,readv2
B564000,readv2
B560100,readv2
B580.00,readv2
B561900,readv2
B584.00,readv2
1977A,readv2
B564200,readv2
B565z00,readv2
B575000,readv2
B560300,readv2
B58y200,readv2
B58y900,readv2
B565400,readv2
B58y.00,readv2
B562400,readv2
B560900,readv2
B565200,readv2
B577.00,readv2
B581z00,readv2
B58y500,readv2
B561400,readv2
B576z00,readv2
ByuC500,readv2
B59z.00,readv2
2022MT,readv2
B563100,readv2
B582000,readv2
B582z00,readv2
B581200,readv2
B56..00,readv2
B574000,readv2
B562200,readv2
B573.00,readv2
B561200,readv2
B57y.00,readv2
B58y600,readv2
B561z00,readv2
B574z00,readv2
B564.00,readv2
B59..00,readv2
BB04.00,readv2
BB03.00,readv2
B562100,readv2
B561800,readv2
B561.00,readv2
B586.00,readv2
B56z.00,readv2
B587.00,readv2
B581.00,readv2
B576.00,readv2
B565.00,readv2
B58y100,readv2
B591.00,readv2
B572.00,readv2
B57z.00,readv2
B561600,readv2
B574.00,readv2
B581100,readv2
ByuC400,readv2
ByuC.00,readv2
B564z00,readv2
B560600,readv2
B58y800,readv2
ByuC700,readv2
B563.00,readv2
B570.00,readv2
B58z.00,readv2
B563200,readv2
B594.00,readv2
B585.00,readv2
B583.00,readv2
B560500,readv2
B58..00,readv2
B582500,readv2
B58y700,readv2
B562000,readv2
B571.00,readv2
B58y000,readv2
B565100,readv2
B562z00,readv2
B583100,readv2
B583z00,readv2
B565000,readv2
B560.00,readv2
ByuC600,readv2
B563000,readv2
B562300,readv2
B590.00,readv2
1990NB,readv2
1990C,readv2
B58..11,readv2
1983AM,readv2
BB13.00,readv2
B590.11,readv2
BB14.00,readv2
B57..12,readv2
BB2B.00,readv2
BB85100,readv2
209 BL,readv2
209 BF,readv2
B576200,readv2
1976A,readv2
1982.00,readv2
B592X00,readv2
1968M,readv2
ByuC200,readv2
B56y.00,readv2
1969M,readv2
1977M,readv2
B577.11,readv2
1977.00,readv2
B57..11,readv2
1976M,readv2
1989.00,readv2
1985.00,readv2
1970.00,readv2
BBy2.00,readv2
B585000,readv2
C354A00,readv2
1983M,readv2
B583200,readv2
1972A,readv2
1972B,readv2
B58y411,readv2
B58y211,readv2
7H62z00,readv2
B560000,readv2
B560400,readv2
1983.00,readv2